"Chapter","Title","Phase","Level","Priority","Lab","StudyFile","ArchiveFile"
"19","第19章：移动ISP竞争格局分析","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter19-第19章：移动ISP竞争格局分析.md","source_archive/chapter19-第19章：移动ISP竞争格局分析.md"
"20","第20章：车载ISP架构基础","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter20-第20章：车载ISP架构基础.md","source_archive/chapter20-第20章：车载ISP架构基础.md"
"21","第21章：主流车载ISP方案分析","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter21-第21章：主流车载ISP方案分析.md","source_archive/chapter21-第21章：主流车载ISP方案分析.md"
"22","第22章：车载ISP特殊场景优化","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter22-第22章：车载ISP特殊场景优化.md","source_archive/chapter22-第22章：车载ISP特殊场景优化.md"
"23","第23章：专业相机ISP核心技术","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter23-第23章：专业相机ISP核心技术.md","source_archive/chapter23-第23章：专业相机ISP核心技术.md"
"24","第24章：中大画幅ISP设计挑战","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab08-产业资料证据审计.md","study_chapters/chapter24-第24章：中大画幅ISP设计挑战.md","source_archive/chapter24-第24章：中大画幅ISP设计挑战.md"
"25","第25章：消费电子ISP特殊需求","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab09-视频场景与系统指标.md","study_chapters/chapter25-第25章：消费电子ISP特殊需求.md","source_archive/chapter25-第25章：消费电子ISP特殊需求.md"
"26","第26章：安防监控ISP关键技术","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab09-视频场景与系统指标.md","study_chapters/chapter26-第26章：安防监控ISP关键技术.md","source_archive/chapter26-第26章：安防监控ISP关键技术.md"
"27","第27章：视频ISP专门优化","产业平台与应用场景（选修）","中级/选修","选修/按方向","lab09-视频场景与系统指标.md","study_chapters/chapter27-第27章：视频ISP专门优化.md","source_archive/chapter27-第27章：视频ISP专门优化.md"
"28","第28章：AI-ISP融合架构","AI-ISP 与异构架构","中级 → 进阶","核心","lab10-AI-ISP训练与失败案例.md","study_chapters/chapter28-第28章：AI-ISP融合架构.md","source_archive/chapter28-第28章：AI-ISP融合架构.md"
"29","第29章：深度学习增强的ISP模块","AI-ISP 与异构架构","中级 → 进阶","核心","lab10-AI-ISP训练与失败案例.md","study_chapters/chapter29-第29章：深度学习增强的ISP模块.md","source_archive/chapter29-第29章：深度学习增强的ISP模块.md"
"30","第30章：ISP与GPU架构对比研究","AI-ISP 与异构架构","中级 → 进阶","选修/按方向","lab11-异构性能与编码协同.md","study_chapters/chapter30-第30章：ISP与GPU架构对比研究.md","source_archive/chapter30-第30章：ISP与GPU架构对比研究.md"
"31","第31章：ISP与视频编解码器架构对比","AI-ISP 与异构架构","中级 → 进阶","选修/按方向","lab11-异构性能与编码协同.md","study_chapters/chapter31-第31章：ISP与视频编解码器架构对比.md","source_archive/chapter31-第31章：ISP与视频编解码器架构对比.md"
"32","第32章：ISP的验证方法学","验证、实现、系统与趋势","中级 → 进阶","核心","lab12-验证部署与系统集成.md","study_chapters/chapter32-第32章：ISP的验证方法学.md","source_archive/chapter32-第32章：ISP的验证方法学.md"
"33","第33章：ISP的后端实现考虑","验证、实现、系统与趋势","中级 → 进阶","选修/按方向","lab12-验证部署与系统集成.md","study_chapters/chapter33-第33章：ISP的后端实现考虑.md","source_archive/chapter33-第33章：ISP的后端实现考虑.md"
"34","第34章：系统集成与优化","验证、实现、系统与趋势","中级 → 进阶","核心","lab12-验证部署与系统集成.md","study_chapters/chapter34-第34章：系统集成与优化.md","source_archive/chapter34-第34章：系统集成与优化.md"
"35","第35章：ISP技术发展趋势","验证、实现、系统与趋势","中级 → 进阶","选修/按方向","lab13-技术趋势证据卡.md","study_chapters/chapter35-第35章：ISP技术发展趋势.md","source_archive/chapter35-第35章：ISP技术发展趋势.md"
